belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	Annotation	Annotation	
Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Pressure	Pressure	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3	SyncTimestamp	SystemTimestamp	Temperature	Temperature	Timestamp	Timestamp	VSenseBatt	VSenseBatt	Level	Pulse	
CAL	CAL	CAL	CAL	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	UNCAL	CAL	RAW	CAL	RAW	CAL	RAW	no format	no format	
local	local	local	local	deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	kPa	No Units	local	local	local	local	mSecs	mSecs	Degrees Celsius	No Units	mSecs	No Units	mV	No Units	no unit	no unit	
0.0030777591112356867	0.9207439382007668	-0.08070873259907393	0.38172856946546835	-0.6983376603247171	-136.0	0.16073158445383035	42.0	-0.09547797109311361	99.0	0.5662650602409639	1236.0	9.771084337349398	2000.0	-0.3614457831325301	2077.0	0.42363636363636364	-466.0	-0.8118181818181818	-893.0	-0.1306122448979592	128.0	95.26792515349575	39910.0	0.9999988159250903	0.0014169134632120606	-1.242009695354351E-4	5.874340594902349E-4	1.522816001683E12	1.522816001689E12	27.217989127306716	25990.0	121.09375	3968.0	3859.340659340659	2634.0	0.0	0.0	
0.006200227724319961	0.9217025329934652	-0.08134424000506381	0.3792724025174869	0.0	-128.0	-0.12213740458015267	42.0	-0.12213740458015267	107.0	0.5421686746987953	1235.0	9.783132530120483	2002.0	-0.39759036144578314	2080.0	0.42818181818181816	-471.0	-0.8281818181818181	-911.0	-0.12755102040816327	125.0	95.26792515349575	39910.0	0.9999951946508694	0.002857378222412225	-2.521760021145462E-4	0.001175785749221885	1.5228160016908125E12	1.52281600171E12	27.217989127306716	25990.0	128.90625	4224.0	3859.340659340659	2634.0	0.0	0.0	
0.009320639985985034	0.923025541118784	-0.07959699309690285	0.37641488961612246	0.0916030534351145	-127.0	-0.07633587786259542	36.0	-0.41221374045801523	130.0	0.4819277108433735	1235.0	9.783132530120483	2007.0	-0.42168674698795183	2082.0	0.41454545454545455	-456.0	-0.82	-902.0	-0.1285714285714286	126.0	95.25899105581045	39907.0	0.9999891407284355	0.004301578812580143	-3.70946115570883E-4	0.0017542074859053483	1.522816001698625E12	1.522816001711E12	27.217989127306716	25990.0	136.71875	4480.0	3837.362637362637	2619.0	0.0	0.0	
0.012425039709061714	0.923747855255689	-0.07616186160471254	0.3753521956058546	-0.1984732824427481	-134.0	0.05597964376590316	53.0	-0.2900763358778626	131.0	0.39759036144578314	1235.0	9.783132530120483	2014.0	-0.42168674698795183	2082.0	0.4209090909090909	-463.0	-0.8127272727272727	-894.0	-0.1316326530612245	129.0	95.25899105581045	39907.0	0.9999807023605953	0.0057387649761989346	-4.7315403376850545E-4	0.002331867967678276	1.5228160017064375E12	1.522816001712E12	27.217989127306716	25990.0	144.53125	4736.0	3852.014652014652	2629.0	0.0	0.0	
0.015562281844834873	0.9238406713270872	-0.0742561329863883	0.37550558013153673	0.1564885496183206	-129.0	-0.03435114503816794	33.0	0.10305343511450381	110.0	0.39759036144578314	1236.0	9.771084337349398	2014.0	-0.44578313253012053	2084.0	0.42272727272727273	-465.0	-0.8181818181818182	-900.0	-0.1326530612244898	130.0	95.25601302481259	39906.0	0.9999697270757156	0.007188461913990654	-5.777916045697551E-4	0.002921832351664049	1.52281600171425E12	1.522816001725E12	27.217989127306716	25990.0	152.34375	4992.0	3859.340659340659	2634.0	0.0	0.0	
0.018685473896186477	0.9235160010481757	-0.07363956713932815	0.3764245076491898	-0.08854961832061065	-139.0	0.1251908396946563	47.0	0.18931297709923672	103.0	0.4819277108433735	1236.0	9.771084337349398	2007.0	-0.44578313253012053	2084.0	0.4163636363636364	-458.0	-0.8281818181818181	-911.0	-0.1316326530612245	129.0	95.26494712015204	39909.0	0.9999563569506157	0.008628041544942455	-6.87985095990295E-4	0.0035167839938295723	1.5228160017220625E12	1.522816001731E12	27.217989127306716	25990.0	160.15625	5248.0	3857.8754578754574	2633.0	0.0	0.0	
0.02178678126349427	0.9237763899574548	-0.0717721126816808	0.3761461753051293	-0.36386768447837153	-138.0	0.08905852417302813	66.0	0.020356234096692037	112.0	0.3734939759036145	1236.0	9.771084337349398	2016.0	-0.39759036144578314	2080.0	0.43363636363636365	-477.0	-0.8072727272727273	-888.0	-0.1316326530612245	129.0	95.26494712015204	39909.0	0.9999406676070035	0.010062858049652169	-7.818261970006152E-4	0.004097426183612921	1.522816001729875E12	1.522816001732E12	27.217989127306716	25990.0	167.96875	5504.0	3837.362637362637	2619.0	0.0	0.0	
0.024891082946124448	0.9236506990828629	-0.07084121718700127	0.37663099717152154	-0.3882224645583424	-134.0	0.015267175572519083	71.0	0.1853871319520174	101.0	0.39759036144578314	1236.0	9.771084337349398	2014.0	-0.3493975903614458	2076.0	0.4172727272727273	-459.0	-0.8109090909090909	-892.0	-0.12959183673469388	127.0	95.25601302481259	39906.0	0.9999225552483567	0.011495036329454672	-8.816345464751428E-4	0.0046872556904728555	1.5228160017376875E12	1.522816001754E12	27.217989127306716	25990.0	175.78125	5760.0	3854.945054945055	2631.0	0.0	0.0	
0.028011247102016044	0.9239718332629144	-0.07008765109861449	0.37598373967514753	-0.019083969465648856	-144.0	0.16603053435114504	50.0	-0.06679389312977099	116.0	0.44578313253012053	1234.0	9.795180722891567	2010.0	-0.3373493975903615	2075.0	0.4218181818181818	-464.0	-0.81	-891.0	-0.1306122448979592	128.0	95.26792515349575	39910.0	0.9999019228577033	0.012940378600033308	-9.81589165115857E-4	0.00526571456369097	1.5228160017455E12	1.522816001754E12	27.217989127306716	25990.0	183.59375	6016.0	3859.340659340659	2634.0	0.0	0.0	
0.031125741650746875	0.924036480816051	-0.07000408274231011	0.3758404056521142	-0.13910093299406281	-135.0	0.010178117048345911	58.0	-0.013570822731128026	113.0	0.46987951807228917	1234.0	9.795180722891567	2008.0	-0.39759036144578314	2080.0	0.4172727272727273	-459.0	-0.8272727272727273	-910.0	-0.12959183673469388	127.0	95.26792515349575	39910.0	0.9998789009700778	0.014380079889511994	-0.0010894205189143664	0.005848919573187176	1.5228160017533125E12	1.522816001757E12	27.217989127306716	25990.0	191.40625	6272.0	3859.340659340659	2634.0	0.0	0.0	
0.034234677979379215	0.9240950544585396	-0.06979642531984026	0.3757349988192414	-0.23206106870229012	-138.0	0.05496183206106861	65.0	0.018320610687022943	111.0	0.46987951807228917	1236.0	9.771084337349398	2008.0	-0.43373493975903615	2083.0	0.4172727272727273	-459.0	-0.8209090909090909	-903.0	-0.1285714285714286	126.0	95.26494712015204	39909.0	0.9998535019300432	0.015817275860469097	-0.0011946707300640304	0.006431269270496474	1.522816001761125E12	1.52281600177E12	27.217989127306716	25990.0	199.21875	6528.0	3835.8974358974356	2618.0	0.0	0.0	
0.03733606437971864	0.9243635060040764	-0.06947893443976413	0.37513302498842077	-0.25676613462873005	-140.0	0.0804996530187371	68.0	-0.19708535739070085	125.0	0.45783132530120485	1235.0	9.783132530120483	2009.0	-0.4096385542168675	2081.0	0.4172727272727273	-459.0	-0.8118181818181818	-893.0	-0.1306122448979592	128.0	95.25899105581045	39907.0	0.999825757347398	0.017255045427065196	-0.0012969596508247783	0.007002588641074108	1.5228160017689375E12	1.522816001774E12	27.217989127306716	25990.0	207.03125	6784.0	3857.8754578754574	2633.0	0.0	0.0	
0.04044453512487198	0.9246313471752697	-0.06899307033705589	0.37456218184318646	-0.17430025445292616	-136.0	0.012722646310432715	64.0	-0.11959287531806607	121.0	0.42168674698795183	1236.0	9.771084337349398	2012.0	-0.42168674698795183	2082.0	0.42363636363636364	-466.0	-0.8127272727272727	-894.0	-0.1306122448979592	128.0	95.25899105581045	39907.0	0.999795536915222	0.018696868121857464	-0.0013951012382986524	0.007573980417981397	1.52281600177675E12	1.522816001785E12	27.217989127306716	25990.0	214.84375	7040.0	3856.4102564102564	2632.0	0.0	0.0	
0.04355528259842306	0.9247888310564665	-0.06818436960738627	0.3743213989265682	-0.1608925425719319	-147.0	0.17968291250734006	64.0	-0.018790369935408037	115.0	0.39759036144578314	1236.0	9.771084337349398	2014.0	-0.43373493975903615	2083.0	0.41454545454545455	-456.0	-0.8254545454545454	-908.0	-0.1316326530612245	129.0	95.25601302481259	39906.0	0.9997628765415698	0.020138127548457015	-0.0014847773738747073	0.008151192815649199	1.5228160017845625E12	1.522816001793E12	27.217989127306716	25990.0	222.65625	7296.0	3859.340659340659	2634.0	0.0	0.0	
