left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.6870229007633587	-19.0	0.2900763358778626	45.0	1.6030534351145038	-105.0	0.27710843373493976	1286.0	9.168674698795181	2024.0	0.24096385542168675	2027.0	-0.42727272727272725	470.0	-0.019090909090909092	-21.0	-0.22551020408163266	221.0	1.52289247741125E12	1.522892477429E12	1089.84375	35712.0	0.0	0.0	
-0.564885496183206	-40.0	0.6106870229007634	37.0	1.7709923664122136	-116.0	0.28915662650602414	1285.0	9.180722891566266	2023.0	0.2530120481927711	2026.0	-0.4354545454545454	479.0	-0.019090909090909092	-21.0	-0.22755102040816327	223.0	1.5228924774151563E12	1.52289247743E12	1093.75	35840.0	0.0	0.0	
-0.47328244274809156	-38.0	0.5801526717557252	31.0	1.66412213740458	-109.0	0.28915662650602414	1284.0	9.19277108433735	2023.0	0.22891566265060243	2028.0	-0.4254545454545455	468.0	-0.031818181818181815	-35.0	-0.23367346938775513	229.0	1.5228924774190625E12	1.52289247743E12	1097.65625	35968.0	0.0	0.0	
-0.7633587786259541	-16.0	0.24427480916030533	50.0	1.8931297709923662	-124.0	0.27710843373493976	1286.0	9.168674698795181	2024.0	0.22891566265060243	2028.0	-0.4263636363636364	469.0	-0.02909090909090909	-32.0	-0.2295918367346939	225.0	1.5228924774229688E12	1.522892477431E12	1101.5625	36096.0	0.0	0.0	
-0.564885496183206	-17.0	0.2595419847328244	37.0	1.8625954198473282	-122.0	0.3132530120481928	1287.0	9.156626506024097	2021.0	0.20481927710843376	2030.0	-0.4263636363636364	469.0	-0.02909090909090909	-32.0	-0.2295918367346939	225.0	1.522892477426875E12	1.522892477432E12	1105.46875	36224.0	0.0	0.0	
-0.32061068702290074	-28.0	0.42748091603053434	21.0	1.7251908396946565	-113.0	0.3734939759036145	1285.0	9.180722891566266	2016.0	0.1927710843373494	2031.0	-0.43454545454545457	478.0	-0.02181818181818182	-24.0	-0.22448979591836737	220.0	1.5228924774307813E12	1.522892477442E12	1109.375	36352.0	0.0	0.0	
-0.366412213740458	-29.0	0.4427480916030534	24.0	1.7709923664122136	-116.0	0.3734939759036145	1283.0	9.204819277108435	2016.0	0.18072289156626506	2032.0	-0.42818181818181816	471.0	-0.01818181818181818	-20.0	-0.22244897959183677	218.0	1.5228924774346875E12	1.522892477442E12	1113.28125	36480.0	0.0	0.0	
-0.4580152671755725	-33.0	0.5038167938931297	30.0	1.8473282442748091	-121.0	0.3493975903614458	1285.0	9.180722891566266	2018.0	0.18072289156626506	2032.0	-0.42727272727272725	470.0	-0.02090909090909091	-23.0	-0.2306122448979592	226.0	1.5228924774385938E12	1.522892477474E12	1117.1875	36608.0	0.0	0.0	
-0.564885496183206	-39.0	0.5954198473282443	37.0	1.5877862595419847	-104.0	0.3373493975903615	1282.0	9.216867469879519	2019.0	0.18072289156626506	2032.0	-0.43454545454545457	478.0	-0.02090909090909091	-23.0	-0.22551020408163266	221.0	1.5228924774425E12	1.522892477479E12	1121.09375	36736.0	0.0	0.0	
-0.13740458015267176	-21.0	0.32061068702290074	9.0	1.6793893129770991	-110.0	0.3253012048192771	1283.0	9.204819277108435	2020.0	0.1566265060240964	2034.0	-0.43	473.0	-0.02727272727272727	-30.0	-0.2326530612244898	228.0	1.5228924774464063E12	1.522892477479E12	1125.0	36864.0	0.0	0.0	
