belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	Annotation	Annotation	
Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Pressure	Pressure	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3	SyncTimestamp	SystemTimestamp	Temperature	Temperature	Timestamp	Timestamp	VSenseBatt	VSenseBatt	Level	Pulse	
CAL	CAL	CAL	CAL	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	UNCAL	CAL	RAW	CAL	RAW	CAL	RAW	no format	no format	
local	local	local	local	deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	kPa	No Units	local	local	local	local	mSecs	mSecs	Degrees Celsius	No Units	mSecs	No Units	mV	No Units	no unit	no unit	
0.00314377990804831	0.9269174621119391	-0.05107305365383638	0.371773535199279	0.22638358778625953	-137.0	0.07126669847328244	-9.0	0.1868439885496183	84.0	0.16867469879518074	1234.0	9.795180722891567	2033.0	-0.07228915662650603	2053.0	0.4290909090909091	-472.0	-0.8009090909090909	-881.0	-0.15612244897959185	153.0	95.2542922502112	39935.0	0.9999987645812406	0.0014570116468965188	-8.028118689949096E-5	5.843868444975165E-4	1.5228159096761875E12	1.522815909685E12	26.896939618726208	25937.0	113.28125	3712.0	3847.6190476190473	2626.0	0.0	0.0	
0.006262057774146226	0.9282639373770888	-0.05521077971520944	0.3678013490568846	0.0	-119.0	-0.2748091603053435	-9.0	-0.3053435114503817	104.0	0.16867469879518074	1235.0	9.783132530120483	2033.0	-0.03614457831325302	2050.0	0.4254545454545455	-468.0	-0.8081818181818182	-889.0	-0.15918367346938778	156.0	95.2572682188344	39936.0	0.9999950983330586	0.0029064164539847645	-1.7286626372131387E-4	0.001151594767019878	1.522815909684E12	1.522815909688E12	26.896939618726208	25937.0	121.09375	3968.0	3854.945054945055	2631.0	0.0	0.0	
0.009382564098724169	0.9273334090735909	-0.05570989701373464	0.3700664207625262	-0.15267175572519084	-130.0	0.030534351145038167	1.0	0.21374045801526717	80.0	0.22891566265060243	1235.0	9.783132530120483	2028.0	0.04819277108433735	2043.0	0.4290909090909091	-472.0	-0.8127272727272727	-894.0	-0.15714285714285717	154.0	95.2572682188344	39936.0	0.9999889959565482	0.004350366618482679	-2.6134988119297457E-4	0.0017360795888018091	1.5228159096918125E12	1.522815909698E12	26.896939618726208	25937.0	128.90625	4224.0	3847.6190476190473	2626.0	0.0	0.0	
0.012502642519118907	0.9275978201740757	-0.05424781964095902	0.36962069486340204	-0.05597964376590331	-145.0	0.24936386768447852	-2.0	-0.010178117048346128	90.0	0.21686746987951808	1235.0	9.783132530120483	2029.0	0.1566265060240964	2034.0	0.4290909090909091	-472.0	-0.8018181818181818	-882.0	-0.15510204081632656	152.0	95.2572682188344	39936.0	0.9999804605548869	0.005798674205654564	-3.391183394609507E-4	0.0023106026583571597	1.522815909699625E12	1.522815909708E12	26.896939618726208	25937.0	136.71875	4480.0	3854.945054945055	2631.0	0.0	0.0	
0.01563578955466902	0.9278036466829529	-0.054428571386331934	0.36907712448428864	0.1412213740458015	-131.0	-0.026717557251908396	-14.0	-0.022900763358778626	91.0	0.21686746987951808	1236.0	9.771084337349398	2029.0	0.1927710843373494	2031.0	0.4309090909090909	-474.0	-0.8163636363636364	-898.0	-0.15612244897959185	153.0	95.24834031530732	39933.0	0.9999694404162746	0.007253397395956371	-4.2551250943094536E-4	0.002885376731609468	1.5228159097074375E12	1.522815909718E12	26.896939618726208	25937.0	144.53125	4736.0	3843.223443223443	2623.0	0.0	0.0	
0.018783187325516527	0.9278925947356235	-0.05406017503228989	0.3689076173090158	0.2809160305343511	-129.0	-0.05190839694656497	-25.0	0.19541984732824422	77.0	0.1927710843373494	1236.0	9.771084337349398	2031.0	0.14457831325301207	2035.0	0.4354545454545454	-479.0	-0.81	-891.0	-0.15510204081632656	152.0	95.24834031530732	39933.0	0.9999558993083858	0.008714262108517647	-5.077037337472668E-4	0.0034645795098466525	1.52281590971525E12	1.522815909724E12	26.896939618726208	25937.0	152.34375	4992.0	3849.0842490842488	2627.0	0.0	0.0	
0.021926128373055357	0.9278941209090594	-0.05378890849653544	0.3689434288664927	0.21882951653944022	-134.0	0.033078880407124533	-24.0	0.19338422391857513	75.0	0.20481927710843376	1235.0	9.783132530120483	2030.0	0.10843373493975904	2038.0	0.42727272727272725	-470.0	-0.82	-902.0	-0.15816326530612246	155.0	95.2542922502112	39935.0	0.9999399062137079	0.010172359035739565	-5.896794440633456E-4	0.00404466947007915	1.5228159097230625E12	1.522815909737E12	26.896939618726208	25937.0	160.15625	5248.0	3860.8058608058604	2635.0	0.0	0.0	
0.025069536455572163	0.9282797973458051	-0.0534317054874471	0.36802400830529935	0.3555070883315158	-134.0	0.02835332606324979	-35.0	-0.12431842966194105	94.0	0.20481927710843376	1234.0	9.795180722891567	2030.0	0.060240963855421686	2042.0	0.42727272727272725	-470.0	-0.8154545454545454	-897.0	-0.15510204081632656	152.0	95.2542922502112	39935.0	0.9999214408213501	0.011635467409770098	-6.697365057660805E-4	0.0046129748454000665	1.522815909730875E12	1.522815909739E12	26.896939618726208	25937.0	167.96875	5504.0	3856.4102564102564	2632.0	0.0	0.0	
0.02822528653552296	0.9283410876203159	-0.05357133083783379	0.3678490689764348	0.4179389312977099	-124.0	-0.12786259541984732	-42.0	0.1965648854961832	74.0	0.21686746987951808	1235.0	9.783132530120483	2029.0	0.03614457831325302	2044.0	0.42727272727272725	-470.0	-0.8172727272727273	-899.0	-0.15510204081632656	152.0	95.2542922502112	39935.0	0.9999004183027947	0.013100911712727335	-7.560079856411699E-4	0.00519115036545729	1.5228159097386875E12	1.522815909776E12	26.896939618726208	25937.0	175.78125	5760.0	3841.7582417582416	2622.0	0.0	0.0	
0.03137062783104754	0.9287158834656628	-0.05341106852414902	0.36692514980288304	0.38676844783715014	-129.0	-0.0373197625106024	-43.0	-0.11535199321458865	93.0	0.20481927710843376	1236.0	9.771084337349398	2030.0	-0.04819277108433735	2051.0	0.4254545454545455	-468.0	-0.81	-891.0	-0.15816326530612246	155.0	95.24834031530732	39933.0	0.9998769879857611	0.01456660285204839	-8.377350241836223E-4	0.005755100164392281	1.5228159097465E12	1.522815909777E12	26.896939618726208	25937.0	183.59375	6016.0	3849.0842490842488	2627.0	0.0	0.0	
0.03451598867536613	0.9291229856203727	-0.052946882263369154	0.36596052416866265	0.40916030534351144	-133.0	0.027480916030534524	-47.0	-0.14961832061068697	96.0	0.1927710843373494	1235.0	9.783132530120483	2031.0	-0.13253012048192772	2058.0	0.42727272727272725	-470.0	-0.8018181818181818	-882.0	-0.15612244897959185	153.0	95.2572682188344	39936.0	0.9998510845118375	0.016034003273627355	-9.137116363259288E-4	0.006315431146739738	1.5228159097543125E12	1.522815909778E12	26.896939618726208	25937.0	191.40625	6272.0	3863.7362637362635	2637.0	0.0	0.0	
0.03764920382320198	0.9292039652609768	-0.05252694693744512	0.3658154053468182	0.09715475364330331	-126.0	-0.08188757807078433	-29.0	0.15405968077723806	77.0	0.1566265060240964	1235.0	9.783132530120483	2034.0	-0.1927710843373494	2063.0	0.42818181818181816	-471.0	-0.8163636363636364	-898.0	-0.15918367346938778	156.0	95.2572682188344	39936.0	0.9998228224136649	0.01749086167128599	-9.887404673739133E-4	0.006885922672908035	1.522815909762125E12	1.522815909788E12	26.896939618726208	25937.0	199.21875	6528.0	3854.945054945055	2631.0	0.0	0.0	
0.04077661192750613	0.9292581792317096	-0.051997104978906035	0.365753383313386	0.012722646310432606	-136.0	0.07760814249363882	-24.0	0.17175572519083968	75.0	0.18072289156626506	1234.0	9.795180722891567	2032.0	-0.18072289156626506	2062.0	0.42818181818181816	-471.0	-0.8163636363636364	-898.0	-0.15714285714285717	154.0	95.24834031530732	39933.0	0.9997921656895467	0.018944687516355196	-0.00106005944052591	0.007456575265929429	1.5228159097699375E12	1.522815909789E12	26.896939618726208	25937.0	207.03125	6784.0	3843.223443223443	2623.0	0.0	0.0	
0.04389746393776175	0.9293235993388923	-0.05180890656252296	0.3656138467182335	-0.07985907222548448	-129.0	-0.03523194362889039	-18.0	0.14327657075748682	76.0	0.20481927710843376	1235.0	9.783132530120483	2030.0	-0.10843373493975904	2056.0	0.43	-473.0	-0.8118181818181818	-893.0	-0.15612244897959185	153.0	95.24834031530732	39933.0	0.9997591362523244	0.020395836897221815	-0.001137048503690571	0.008024116024101564	1.52281590977775E12	1.522815909794E12	26.896939618726208	25937.0	214.84375	7040.0	3840.29304029304	2621.0	0.0	0.0	
