belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	Annotation	Annotation	
Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Pressure	Pressure	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3	SyncTimestamp	SystemTimestamp	Temperature	Temperature	Timestamp	Timestamp	VSenseBatt	VSenseBatt	Level	Pulse	
CAL	CAL	CAL	CAL	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	UNCAL	CAL	RAW	CAL	RAW	CAL	RAW	no format	no format	
local	local	local	local	deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	kPa	No Units	local	local	local	local	mSecs	mSecs	Degrees Celsius	No Units	mSecs	No Units	mV	No Units	no unit	no unit	
0.003169463544035177	0.9218580960975218	-0.0822521516585753	0.37869807796469157	0.6020395992366412	-116.0	-0.17897185114503816	-28.0	0.21833253816793893	90.0	0.5421686746987953	1236.0	9.771084337349398	2002.0	-0.24096385542168675	2067.0	0.4381818181818182	-482.0	-0.8381818181818181	-922.0	-0.1285714285714286	126.0	94.74895638038862	40042.0	0.9999987443128682	0.001460897202700473	-1.303475434915484E-4	6.001346249587392E-4	1.52283131862025E12	1.522831318671E12	23.900675055474178	25447.0	1402.34375	45952.0	3872.527472527472	2643.0	0.0	0.0	
0.006303164088133145	0.9226542324289042	-0.08101573498084995	0.3770220392056989	0.13740458015267176	-110.0	-0.0916030534351145	-37.0	-0.015267175572519083	91.0	0.5301204819277109	1236.0	9.771084337349398	2003.0	-0.28915662650602414	2071.0	0.44	-484.0	-0.8254545454545454	-908.0	-0.12959183673469388	127.0	94.74895638038862	40042.0	0.9999950337694203	0.0029078156981676515	-2.5532731298022666E-4	0.0011882139219926984	1.5228313186280625E12	1.522831318672E12	23.900675055474178	25447.0	1410.15625	46208.0	3866.6666666666665	2639.0	0.0	0.0	
0.00942268850104694	0.9225230185367425	-0.07902774372666743	0.3777643392197223	-0.09923664122137404	-119.0	0.0916030534351145	-26.0	0.05343511450381679	87.0	0.5180722891566265	1236.0	9.771084337349398	2004.0	-0.30120481927710846	2072.0	0.43363636363636365	-477.0	-0.8336363636363636	-917.0	-0.1306122448979592	128.0	94.74895638038862	40042.0	0.9999889016382055	0.00434630744032311	-3.723255286312214E-4	0.0017797712634246093	1.522831318635875E12	1.522831318674E12	23.900675055474178	25447.0	1417.96875	46464.0	3875.457875457875	2645.0	0.0	0.0	
0.012528979197088105	0.9224777082158129	-0.07836675138193562	0.3780126057730134	-0.2798982188295165	-123.0	0.12213740458015267	-12.0	-0.010178117048346128	90.0	0.5421686746987953	1238.0	9.74698795180723	2002.0	-0.3373493975903615	2075.0	0.43636363636363634	-480.0	-0.84	-924.0	-0.1316326530612245	129.0	94.74895638038862	40042.0	0.9999803781492047	0.005778814210699982	-4.909244879296034E-4	0.002368040548415904	1.5228313186436875E12	1.522831318675E12	23.900675055474178	25447.0	1425.78125	46720.0	3868.131868131868	2640.0	0.0	0.0	
0.015641273841828642	0.9223168785550818	-0.07951555665634887	0.37816511179981493	-0.24045801526717556	-119.0	0.030534351145038167	-10.0	0.11450381679389313	82.0	0.6144578313253012	1236.0	9.771084337349398	1996.0	-0.3253012048192771	2074.0	0.43636363636363634	-480.0	-0.8318181818181818	-915.0	-0.1326530612244898	130.0	94.74599978980173	40041.0	0.9999694189749434	0.0072130319050077545	-6.218559590985987E-4	0.00295746188776918	1.5228313186515E12	1.522831318676E12	23.900675055474178	25447.0	1433.59375	46976.0	3873.9926739926736	2644.0	0.0	0.0	
0.018754910172224006	0.9222556046451825	-0.07988702547082849	0.378236252710883	-0.20763358778625957	-133.0	0.23816793893129762	-9.0	0.13740458015267176	79.0	0.6506024096385542	1235.0	9.783132530120483	1993.0	-0.26506024096385544	2069.0	0.4381818181818182	-482.0	-0.8345454545454546	-918.0	-0.1316326530612245	129.0	94.75191297174631	40043.0	0.9999560319902554	0.008648283758971196	-7.491260139293892E-4	0.0035468414883009967	1.5228313186593125E12	1.522831318678E12	23.900675055474178	25447.0	1441.40625	47232.0	3872.527472527472	2643.0	0.0	0.0	
0.02185551218020591	0.9221431227196281	-0.08095738485162475	0.37828291404861986	-0.37150127226463103	-130.0	0.15267175572519084	4.0	0.022900763358778626	85.0	0.6987951807228916	1236.0	9.771084337349398	1989.0	-0.2530120481927711	2068.0	0.4354545454545454	-479.0	-0.8427272727272728	-927.0	-0.12959183673469388	127.0	94.75191297174631	40043.0	0.999940292667588	0.010076754568411195	-8.846649479359271E-4	0.004133701145055661	1.522831318667125E12	1.522831318703E12	23.900675055474178	25447.0	1449.21875	47488.0	3878.388278388278	2647.0	0.0	0.0	
0.02495649656736157	0.922545136116367	-0.08105778943418737	0.37727987834078824	-0.2420937840785169	-128.0	0.10032715376226824	-1.0	-0.2857142857142856	105.0	0.6265060240963856	1237.0	9.759036144578314	1995.0	-0.30120481927710846	2072.0	0.4354545454545454	-479.0	-0.8381818181818181	-922.0	-0.1306122448979592	128.0	94.74895638038862	40042.0	0.9999221476700706	0.011511448521029631	-0.0010114329735975217	0.00470766982288061	1.5228313186749375E12	1.522831318705E12	23.900675055474178	25447.0	1457.03125	47744.0	3875.457875457875	2645.0	0.0	0.0	
0.028042181479790193	0.9229826793548727	-0.08073375440249454	0.376277868749417	-0.4561068702290076	-126.0	0.05725190839694656	15.0	-0.3568702290076336	112.0	0.5783132530120483	1238.0	9.74698795180723	1999.0	-0.27710843373493976	2070.0	0.4381818181818182	-482.0	-0.8281818181818181	-911.0	-0.1306122448979592	128.0	94.74599978980173	40041.0	0.9999017061175552	0.012940799881427377	-0.0011319382072578358	0.005275653279538972	1.52283131868275E12	1.522831318714E12	23.900675055474178	25447.0	1464.84375	48000.0	3884.249084249084	2651.0	0.0	0.0	
0.03114464515343927	0.9232135680206942	-0.08004544340489514	0.37585826425932267	-0.2985581000848176	-128.0	0.08142493638676837	8.0	-0.0729431721798133	96.0	0.5542168674698795	1236.0	9.771084337349398	2001.0	-0.24096385542168675	2067.0	0.44	-484.0	-0.83	-913.0	-0.1285714285714286	126.0	94.74599978980173	40041.0	0.9998787538349679	0.014375998448682774	-0.001246443087572889	0.005852749581552407	1.5228313186905625E12	1.522831318725E12	23.900675055474178	25447.0	1472.65625	48256.0	3865.201465201465	2638.0	0.0	0.0	
0.03424142239096368	0.9232474747660303	-0.07949987303294664	0.3758907694077891	-0.4366412213740458	-134.0	0.16488549618320605	19.0	0.07175572519083974	87.0	0.5662650602409639	1236.0	9.771084337349398	2000.0	-0.21686746987951808	2065.0	0.4318181818181818	-475.0	-0.8390909090909091	-923.0	-0.1326530612244898	130.0	94.74304319998564	40040.0	0.9998534442039873	0.015805881184326288	-0.0013610278735354455	0.006435202913552672	1.522831318698375E12	1.522831318726E12	23.900675055474178	25447.0	1480.46875	48512.0	3876.9230769230767	2646.0	0.0	0.0	
0.037346956061871765	0.9234854146865216	-0.0792131638013538	0.37536643902012423	-0.22900763358778625	-129.0	0.07356002775850096	8.0	-0.10270645385149212	98.0	0.5783132530120483	1237.0	9.759036144578314	1999.0	-0.24096385542168675	2067.0	0.4381818181818182	-482.0	-0.8409090909090909	-925.0	-0.13367346938775512	131.0	94.74599978980173	40041.0	0.9998256556753402	0.017243682420426107	-0.0014790993104871115	0.007008989598332131	1.5228313187061875E12	1.522831318727E12	23.900675055474178	25447.0	1488.28125	48768.0	3869.5970695970695	2641.0	0.0	0.0	
0.040427708876168846	0.9236982956258692	-0.07888796394603614	0.37491085313998374	-0.6221374045801527	-127.0	0.036895674300254526	35.0	-0.09414758269720108	98.0	0.5542168674698795	1237.0	9.759036144578314	2001.0	-0.24096385542168675	2067.0	0.4381818181818182	-482.0	-0.8209090909090909	-903.0	-0.1346938775510204	132.0	94.74599978980173	40041.0	0.9997957070006952	0.018670231389394297	-0.0015945212280734239	0.007577877334693965	1.522831318714E12	1.522831318728E12	23.900675055474178	25447.0	1496.09375	49024.0	3871.0622710622706	2642.0	0.0	0.0	
0.04352155478193085	0.9239058929373177	-0.07843625765605129	0.3744938644099765	-0.39107457428068115	-129.0	0.06459189665296529	23.0	-0.13270698766881975	101.0	0.5542168674698795	1237.0	9.759036144578314	2001.0	-0.1927710843373494	2063.0	0.4354545454545454	-479.0	-0.8318181818181818	-915.0	-0.12959183673469388	127.0	94.74895638038862	40042.0	0.9997632436265237	0.020103323786134948	-0.0017066992388360977	0.008148634476417883	1.5228313187218125E12	1.522831318735E12	23.900675055474178	25447.0	1503.90625	49280.0	3866.6666666666665	2639.0	0.0	0.0	
